Student_ID,Previous_Score,Study_Time_Hours,Num_Revisions,Time_Gap_Days,Quiz_Score,Final_Score,Knowledge_Retention_Score,Risk_Level
1,90.99,18.25,5,9,80.96,56.07,52.29,Medium Risk
2,83.87,23.55,9,13,73.34,48.97,47.22,High Risk
3,70.89,17.08,8,9,82.77,56.26,49.54,High Risk
4,60.3,21.92,6,26,93.28,54.91,44.18,High Risk
5,80.47,6.06,9,4,72.19,51.22,48.1,High Risk
6,75.9,27.13,4,17,72.19,49.82,42.14,High Risk
7,83.43,25.01,7,16,93.95,66.79,65.25,Medium Risk
8,79.53,16.83,1,15,84.21,50.68,42.04,High Risk
9,85.74,31.59,6,3,69.37,62.6,58.69,Medium Risk
10,61.97,34.38,3,25,81.51,44.66,39.23,High Risk
11,89.76,8.92,8,20,69.44,54.23,50.24,Medium Risk
12,72.96,17.37,0,5,69.41,45.38,38.8,High Risk
13,100.0,17.31,6,23,77.9,54.84,45.19,High Risk
14,59.66,15.6,5,5,52.04,43.29,30.88,High Risk
15,96.04,33.29,7,20,54.3,54.59,49.01,High Risk
16,72.97,23.06,4,15,68.25,50.48,40.03,High Risk
17,60.23,22.35,0,18,62.85,47.07,39.26,High Risk
18,62.74,4.96,0,15,78.77,47.25,39.88,High Risk
19,65.19,31.35,8,2,64.1,55.82,49.64,High Risk
20,76.36,12.61,9,29,58.05,41.47,31.12,High Risk
21,77.84,25.6,5,13,92.59,57.45,53.2,Medium Risk
22,61.39,27.77,9,4,72.29,58.04,52.5,Medium Risk
23,69.63,38.61,4,10,75.81,60.93,54.2,Medium Risk
24,100.0,11.91,0,13,57.9,43.46,34.0,High Risk
25,95.91,0.0,5,10,68.47,50.99,43.63,High Risk
26,76.54,26.84,5,29,76.33,54.61,47.02,High Risk
27,70.57,43.01,2,9,61.19,51.61,42.85,High Risk
28,71.8,37.39,7,8,79.51,67.59,64.64,Medium Risk
29,79.2,27.1,0,3,67.79,48.55,41.87,High Risk
30,54.66,20.08,0,16,71.5,50.9,43.16,High Risk
31,66.14,33.07,5,14,67.78,57.13,55.4,Medium Risk
32,44.97,15.26,9,9,97.23,57.74,52.7,Medium Risk
33,75.99,29.76,0,30,74.84,34.85,29.74,High Risk
34,79.71,30.05,5,21,62.31,42.95,37.88,High Risk
35,62.75,35.6,0,11,84.87,53.24,51.12,Medium Risk
36,93.61,50.0,5,3,60.35,68.23,62.67,Medium Risk
37,51.61,28.92,2,5,77.51,56.25,50.28,Medium Risk
38,48.03,19.91,7,29,51.48,45.51,40.04,High Risk
39,73.37,24.74,5,10,59.06,49.73,40.94,High Risk
40,85.71,7.31,10,13,77.36,54.48,45.62,High Risk
41,95.26,18.05,0,4,83.86,57.33,50.39,Medium Risk
42,63.12,20.91,4,24,77.06,50.68,43.83,High Risk
43,86.18,19.76,7,13,73.61,53.68,46.52,High Risk
44,69.42,26.52,2,12,71.39,52.27,43.08,High Risk
45,67.41,16.78,5,5,57.26,54.44,49.22,High Risk
46,83.25,36.21,4,10,66.36,51.16,43.88,High Risk
47,79.78,25.0,5,28,69.47,48.67,41.48,High Risk
48,46.35,24.91,9,24,87.69,48.24,44.34,High Risk
49,92.15,21.72,0,9,79.12,55.41,46.98,High Risk
50,90.7,26.55,6,20,53.84,58.08,47.46,High Risk
51,60.62,33.25,8,7,78.89,61.21,58.69,Medium Risk
52,75.94,16.33,1,2,70.38,48.55,38.28,High Risk
53,77.41,18.42,9,22,66.88,48.64,42.91,High Risk
54,73.91,21.96,4,24,82.34,55.79,49.4,High Risk
55,61.75,11.54,9,28,87.37,54.47,44.32,High Risk
56,59.93,16.81,3,23,86.18,48.37,41.76,High Risk
57,69.62,20.24,5,7,64.93,53.37,46.75,High Risk
58,87.59,33.74,5,8,71.29,60.36,59.95,Medium Risk
59,78.15,27.63,10,7,78.98,62.59,59.89,Medium Risk
60,64.44,26.94,1,21,86.71,41.66,36.84,High Risk
61,81.58,33.51,1,23,69.25,52.31,44.31,High Risk
62,27.27,23.63,3,29,72.77,43.56,32.37,High Risk
63,87.23,28.9,0,14,61.72,44.32,35.95,High Risk
64,43.9,23.97,8,26,60.65,42.72,32.68,High Risk
65,64.56,27.65,6,19,84.75,53.82,48.08,High Risk
66,53.2,19.17,6,5,91.27,65.71,60.29,Medium Risk
67,50.58,0.61,2,23,74.14,37.79,26.92,High Risk
68,87.41,23.66,10,25,87.04,51.18,48.94,High Risk
69,62.98,39.23,2,18,79.34,54.38,45.62,High Risk
70,75.2,34.26,0,20,67.26,45.37,37.69,High Risk
71,69.3,34.65,2,12,79.34,47.58,42.66,High Risk
72,77.16,37.36,2,23,93.46,54.63,49.39,High Risk
73,71.15,25.89,3,17,74.57,45.4,41.51,High Risk
74,50.76,26.97,3,13,93.78,49.71,45.26,High Risk
75,84.94,18.82,2,2,43.56,46.33,37.55,High Risk
76,62.59,21.84,9,25,84.86,60.51,55.07,Medium Risk
